skill_name,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Data scientist,Аналитик,Инженер данных,ML инженер,Big Data
3D data processing,6300,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
Политики информационной безопасности,6301,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
скоринговые модели,6302,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Oracle Database Server 11-12,6303,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
DCF,6304,,,,9.705910899737941e-05,2,Инженер данных,4.6805523051720103e-05,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0
SLA,6305,,,,0.00048529554498689704,4,Big Data,0.00014041656915516032,3.099045493987852e-05,5.49964252323599e-05,6.75949709341625e-05,0.0002518257365902795
DLP (Devicelock,6306,,,,0.00019411821799475881,2,Инженер данных,0.0,0.0,0.0001099928504647198,0.0,0.0
K-50,6307,,,,9.705910899737941e-05,2,Инженер данных,4.6805523051720103e-05,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0
Zustand,6308,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
SAST,6309,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
Mercurial,6310,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
Постановочная фотография,6311,,,,0.00019411821799475881,0,Data scientist,4.6805523051720103e-05,3.099045493987852e-05,0.0,0.0,0.0
TMF SID,6312,,,,9.705910899737941e-05,2,Инженер данных,4.6805523051720103e-05,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0
Epson,6313,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Измерительные преобразователи,6314,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Presentation skills,6315,,,,0.0016500048529554498,4,Big Data,0.000468055230517201,0.00027891409445890663,0.0001099928504647198,0.0002027849128024875,0.000503651473180559
Customer Relationship Management,6316,,,,0.0006794137629816559,4,Big Data,9.361104610344021e-05,0.0001859427296392711,0.0001099928504647198,6.75949709341625e-05,0.0002518257365902795
Стрессоустойчив,6317,,,,0.0002911773269921382,3,ML инженер,0.0,3.099045493987852e-05,5.49964252323599e-05,6.75949709341625e-05,0.0
Расчет теплоснабжения,6318,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
MVI,6319,,,,9.705910899737941e-05,2,Инженер данных,4.6805523051720103e-05,0.0,5.49964252323599e-05,0.0,0.0
Нефтегаз,6320,,,,0.00038823643598951763,4,Big Data,0.0,3.099045493987852e-05,0.0002199857009294396,0.0,0.0002518257365902795
NGS,6321,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
Redis,6322,127425.0,170000.0,360930.0,0.004173541686887315,4,Big Data,0.000936110461034402,0.0003408950043386637,0.0010449320794148381,0.000946329593078275,0.0017627801561319568
Финансирование жилищного строительства,6323,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Сбор и анализ информации,6324,50000.0,69600.0,100000.0,0.017567698728525673,1,Аналитик,0.001357360168499883,0.00480352051568117,0.0009349392289501183,0.0004731647965391375,0.0002518257365902795
комплексный обед,6325,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
Negotiation skills,6326,,,,0.0019411821799475881,4,Big Data,0.00042124970746548095,0.0003408950043386637,0.0001099928504647198,0.0002027849128024875,0.0007554772097708386
BABOK,6327,,,,0.00019411821799475881,1,Аналитик,0.0,6.198090987975704e-05,0.0,0.0,0.0
Строительно-отделочные работы,6328,,,,0.00048529554498689704,3,ML инженер,9.361104610344021e-05,0.0,5.49964252323599e-05,0.000135189941868325,0.0
CorelDRAW Photo Draw,6329,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
менеджер crm,6330,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
DHCP,6331,59319.0,74500.0,112500.0,0.0022323595069397265,2,Инженер данных,0.0003276386613620407,6.198090987975704e-05,0.000549964252323599,0.0003379748546708125,0.0
Porstgresql,6332,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,0.0,0.0,0.0,0.0
Data Quality,6333,,,,0.00019411821799475881,4,Big Data,9.361104610344021e-05,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0002518257365902795
Calypso,6334,,,,0.0002911773269921382,0,Data scientist,9.361104610344021e-05,6.198090987975704e-05,0.0,6.75949709341625e-05,0.0
видеоредакторы,6335,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Маркетплейст,6336,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Консультативные продажи,6337,63000.0,70000.0,80000.0,0.0020382412889449674,3,ML инженер,0.00028083313831032063,9.297136481963555e-05,5.49964252323599e-05,0.0007435446802757875,0.000503651473180559
Оперативное планирование,6338,,,,0.0002911773269921382,3,ML инженер,4.6805523051720103e-05,3.099045493987852e-05,5.49964252323599e-05,6.75949709341625e-05,0.0
Сканирование,6339,,,,0.0002911773269921382,3,ML инженер,0.0,0.0,5.49964252323599e-05,0.000135189941868325,0.0
Linux (Ubuntu,6340,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Аналитика информационных систем,6341,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Графовая аналитика,6342,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,0.0,0.0,0.0,0.0
