skill_name,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Аналитик,Аналитик BI,Big Data,NLP,Data Scientist,Администратор баз данных,Продуктовый аналитик,Инженер данных,Аналитик данных,Computer Vision,Системный аналитик,ML инженер,Бизнес-аналитик
проектирование систем,47,,,,0.0001889287738522577,10,Системный аналитик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003240440699935191,0.0,0.0
СРМ,48,,,,0.0001889287738522577,8,Аналитик данных,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021199915200339198,0.0,0.0,0.0,0.0
Управление цепочкой поставок,49,,,,0.0005667863215567731,0,Аналитик,0.00016366612111292964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016178611875101117
Управление по целям,50,,,,0.0001889287738522577,7,Инженер данных,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023702299123014932,0.0,0.0,0.0,0.0,0.0
Ner,51,,,,0.0003778575477045154,3,NLP,0.0,0.0,0.0,0.0028653295128939827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004210526315789474,0.0
OLAP,52,,,,0.01228037030039675,1,Аналитик BI,0.0022913256955810145,0.009708737864077669,0.004642525533890436,0.0028653295128939827,0.0006112469437652812,0.002875629043853343,0.0,0.0018961839298411946,0.0016959932160271359,0.003703703703703704,0.0,0.0016842105263157896,0.0022650056625141564
Кросскомандное взаимодействие,53,,,,0.0001889287738522577,12,Бизнес-аналитик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016178611875101117
B2B Продажи,54,,,,0.006234649537124504,2,Big Data,0.0011456628477905073,0.0,0.002785515320334262,0.0,0.0003056234718826406,0.0,0.0014204545454545455,0.0,0.0006359974560101759,0.0,0.0003240440699935191,0.0008421052631578948,0.0014560750687591004
платформа,55,,,,0.0007557150954090308,2,Big Data,0.0,0.0,0.0009285051067780873,0.0,0.0,0.0007189072609633358,0.0,0.00023702299123014932,0.00042399830400678397,0.0,0.0,0.0004210526315789474,0.0
Математическая статистика,56,65250.0,96135.0,174000.0,0.08029472888720952,6,Продуктовый аналитик,0.017103109656301147,0.01699029126213592,0.006963788300835654,0.0057306590257879654,0.033312958435207825,0.0,0.046875,0.0026072529035316427,0.03095187619249523,0.011111111111111112,0.0009721322099805574,0.013473684210526317,0.0043682252062773015
клиентский анализ,57,,,,0.0007557150954090308,0,Аналитик,0.0003273322422258593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021199915200339198,0.0,0.0,0.0,0.00032357223750202233
МСФО,58,,,,0.003778575477045154,0,Аналитик,0.001309328968903437,0.0,0.00046425255338904364,0.0,0.0003056234718826406,0.0,0.0,0.0,0.0,0.0,0.0003240440699935191,0.0,0.00032357223750202233
подготовка информационно-аналитических материалов,59,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Нейминг,60,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Системный администратор,61,,,,0.0003778575477045154,5,Администратор баз данных,0.0,0.0,0.0,0.0,0.0,0.0007189072609633358,0.0,0.0,0.0,0.0,0.0,0.0004210526315789474,0.0
трейдинг,62,,,,0.0001889287738522577,12,Бизнес-аналитик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016178611875101117
Создание презентационных материалов о компании,63,,,,0.0011335726431135461,12,Бизнес-аналитик,0.00016366612111292964,0.0,0.0,0.0,0.0,0.0,0.0,0.00023702299123014932,0.00021199915200339198,0.0,0.0,0.0,0.00032357223750202233
Oracle CRM,64,,,,0.0011335726431135461,5,Администратор баз данных,0.00016366612111292964,0.0,0.0,0.0,0.0,0.0014378145219266715,0.0,0.00023702299123014932,0.0,0.0,0.0003240440699935191,0.0,0.0
Deep Learning,65,,,,0.01076894010957869,9,Computer Vision,0.00016366612111292964,0.0,0.0,0.02005730659025788,0.008557457212713936,0.0,0.0,0.001422137947380896,0.00042399830400678397,0.022222222222222223,0.0,0.01136842105263158,0.0
переговоры с первыми лицами компаний,66,,,,0.0001889287738522577,4,Data Scientist,0.0,0.0,0.0,0.0,0.0003056234718826406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сопровождение строительства,67,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
operational excellence,68,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Автоматизация процессов,69,54375.0,82500.0,130500.0,0.02304931040997544,12,Бизнес-аналитик,0.004173486088379705,0.0024271844660194173,0.0,0.0,0.0,0.0007189072609633358,0.0,0.0,0.0016959932160271359,0.0,0.002592352559948153,0.0004210526315789474,0.010030739362562692
корпоративное хранилище данных,70,,,,0.0003778575477045154,12,Бизнес-аналитик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032357223750202233
Составление ТД,71,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Разработка технических заданий,72,70000.0,107099.0,160000.0,0.06064613640657472,10,Системный аналитик,0.007201309328968904,0.0024271844660194173,0.002785515320334262,0.0028653295128939827,0.0,0.0007189072609633358,0.004261363636363636,0.0,0.002331990672037312,0.003703703703703704,0.03532080362929359,0.002105263157894737,0.025723992881410775
SCL,73,,,,0.0001889287738522577,8,Аналитик данных,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021199915200339198,0.0,0.0,0.0,0.0
SAP,74,,,,0.01398072926506707,1,Аналитик BI,0.0028641571194762683,0.009708737864077669,0.002785515320334262,0.0,0.0,0.0,0.002840909090909091,0.00047404598246029864,0.0012719949120203519,0.0,0.0009721322099805574,0.0,0.005338941918783369
Prometheus,75,,,,0.002645002833931608,5,Администратор баз данных,0.0,0.0,0.0018570102135561746,0.0,0.0,0.004313443565780014,0.0,0.0016591609386110452,0.0,0.0,0.0,0.0008421052631578948,0.0
MVC,76,,,,0.0001889287738522577,2,Big Data,8.183306055646482e-05,0.0,0.00046425255338904364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQLite,77,,,,0.0001889287738522577,5,Администратор баз данных,0.0,0.0,0.0,0.0,0.0,0.0007189072609633358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Улучшение эффективности бизнес показателей,78,,,,0.0001889287738522577,12,Бизнес-аналитик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016178611875101117
Catboost,79,,,,0.0017003589646703192,4,Data Scientist,0.0,0.0,0.00046425255338904364,0.0,0.0018337408312958435,0.0,0.0,0.0,0.00021199915200339198,0.0,0.0,0.0008421052631578948,0.0
Критическое мышление,80,,,,0.0011335726431135461,12,Бизнес-аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021199915200339198,0.0,0.0003240440699935191,0.0,0.0004853583562530335
УЦ VipNet,81,,,,0.0001889287738522577,5,Администратор баз данных,0.0,0.0,0.0,0.0,0.0,0.0007189072609633358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Аналитические отчеты,82,,,,0.0007557150954090308,0,Аналитик,0.0002454991816693944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021199915200339198,0.0,0.0,0.0,0.0
Пользователь ПК,83,34841.0,48925.0,69700.0,0.02626109956546382,0,Аналитик,0.0071194762684124386,0.0024271844660194173,0.0018570102135561746,0.0,0.0024449877750611247,0.007907979870596693,0.0,0.00047404598246029864,0.0031799872800508796,0.0,0.0003240440699935191,0.0050526315789473685,0.0030739362562692122
портфельный анализ,84,,,,0.0003778575477045154,0,Аналитик,0.00016366612111292964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Customer Journey Map,85,,,,0.0011335726431135461,12,Бизнес-аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0003056234718826406,0.0,0.0,0.0,0.0,0.0,0.0003240440699935191,0.0,0.0006471444750040447
Организация совещаний,86,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
стрессоустойчивость,87,62500.0,70000.0,152100.0,0.004723219346306443,12,Бизнес-аналитик,0.0008183306055646482,0.0,0.0009285051067780873,0.0,0.0009168704156479218,0.0,0.0,0.000711068973690448,0.00042399830400678397,0.0,0.0,0.0004210526315789474,0.0012942889500080893
BI,88,87000.0,130250.0,205075.0,0.040430757604383145,1,Аналитик BI,0.007364975450081833,0.05825242718446602,0.017177344475394613,0.0,0.003973105134474328,0.0,0.011363636363636364,0.006399620763214032,0.010811956752172992,0.0,0.002916396629941672,0.003368421052631579,0.00420643908752629
Оценка уровня защищенности,89,,,,0.0001889287738522577,12,Бизнес-аналитик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016178611875101117
Allure,90,,,,0.0009446438692612885,2,Big Data,0.00016366612111292964,0.0,0.002321262766945218,0.0,0.0,0.0,0.0,0.0011851149561507466,0.0,0.0,0.0,0.0,0.0
Категорийный менеджмент,91,,,,0.0005667863215567731,0,Аналитик,0.0002454991816693944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLM,92,,,,0.0009446438692612885,3,NLP,0.0,0.0,0.0,0.0028653295128939827,0.0003056234718826406,0.0,0.0,0.0,0.0,0.0,0.0,0.0012631578947368421,0.0
Optimacros,93,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Управление знаниями,94,,,,0.0005667863215567731,7,Инженер данных,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00023702299123014932,0.0,0.0,0.0,0.0,0.00016178611875101117
Мобильные приложения,95,,,,0.0007557150954090308,6,Продуктовый аналитик,0.0,0.0,0.0,0.0,0.0,0.0,0.0014204545454545455,0.0,0.0,0.0,0.0003240440699935191,0.0,0.00032357223750202233
эффективно искать пути их решения,96,,,,0.0003778575477045154,11,ML инженер,8.183306055646482e-05,0.0,0.0,0.0,0.0003056234718826406,0.0,0.0,0.00023702299123014932,0.0,0.0,0.0,0.0004210526315789474,0.0
Anchor,97,,,,0.0001889287738522577,7,Инженер данных,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023702299123014932,0.0,0.0,0.0,0.0,0.0
ELK,98,,,,0.001322501416965804,7,Инженер данных,8.183306055646482e-05,0.0,0.00046425255338904364,0.0,0.0006112469437652812,0.0007189072609633358,0.0,0.000711068973690448,0.0,0.0,0.0003240440699935191,0.0,0.0
Superset,99,,,,0.0041564330247496695,6,Продуктовый аналитик,0.0006546644844517185,0.0048543689320388345,0.00046425255338904364,0.0,0.0,0.0,0.004261363636363636,0.000711068973690448,0.0012719949120203519,0.0,0.0,0.0008421052631578948,0.0
Qlik Sense,100,,,,0.012469299074249008,1,Аналитик BI,0.0023731587561374797,0.021844660194174758,0.0032497678737233053,0.0,0.0006112469437652812,0.0,0.002840909090909091,0.000711068973690448,0.0038159847360610556,0.0,0.0,0.0004210526315789474,0.0008089305937550558
Поиск и привлечение клиентов,101,,,,0.0009446438692612885,2,Big Data,0.00016366612111292964,0.0,0.0009285051067780873,0.0,0.0003056234718826406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turbo Pascal,102,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,103,80000.0,130500.0,275000.0,0.010202153788021915,9,Computer Vision,0.0002454991816693944,0.0,0.00046425255338904364,0.054441260744985676,0.009168704156479218,0.0,0.0,0.0011851149561507466,0.00021199915200339198,0.07777777777777778,0.0,0.009263157894736843,0.0
openapi,104,,,,0.0003778575477045154,10,Системный аналитик,0.0,0.0,0.0,0.0,0.0003056234718826406,0.0,0.0,0.00023702299123014932,0.0,0.0,0.0003240440699935191,0.0,0.0
Mathematical Modeling,105,,,,0.0001889287738522577,4,Data Scientist,0.0,0.0,0.0,0.0,0.0003056234718826406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XSud,106,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kuberflow,107,,,,0.0001889287738522577,11,ML инженер,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004210526315789474,0.0
Fine BI,108,,,,0.0003778575477045154,1,Аналитик BI,8.183306055646482e-05,0.0024271844660194173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
способность быстро обучаться и легко воспринимать крупные объемы информации,109,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine Learning,110,113100.0,180000.0,260000.0,0.07821651237483469,3,NLP,0.004828150572831424,0.0,0.007428040854224698,0.08882521489971347,0.08007334963325183,0.0,0.009943181818181818,0.009954965631666271,0.00847996608013568,0.05925925925925926,0.0032404406999351912,0.07957894736842105,0.0006471444750040447
wildberries,111,,,,0.0005667863215567731,7,Инженер данных,0.00016366612111292964,0.0,0.0,0.0,0.0,0.0,0.0,0.00023702299123014932,0.00021199915200339198,0.0,0.0,0.0,0.0
ПМИ),112,,,,0.0001889287738522577,10,Системный аналитик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003240440699935191,0.0,0.0
Elasticsearch,113,,,,0.0039675042508974115,7,Инженер данных,0.00016366612111292964,0.0,0.0,0.0028653295128939827,0.0009168704156479218,0.002156721782890007,0.0,0.003792367859682389,0.0,0.0,0.0003240440699935191,0.0025263157894736842,0.0
Oracle Siebel CRM,114,,,,0.0001889287738522577,12,Бизнес-аналитик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016178611875101117
Gamedev,115,,,,0.001322501416965804,2,Big Data,0.0003273322422258593,0.0,0.00046425255338904364,0.0,0.0003056234718826406,0.0,0.0,0.00047404598246029864,0.00021199915200339198,0.0,0.0,0.0,0.0
