skill,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Инженер данных,Аналитик,Аналитик данных,Bi аналитик,ML инженер,Data scientist
Расчет и анализ себестоимости продукции и услуг,1184,,,,0.0015015015015015015,2,Аналитик данных,0.0,0.00030950170225936243,0.000608457560085184,0.0,0.0,0.0
Анализ текущей ситуации,1185,,,,0.0015015015015015015,1,Аналитик,0.0002701972439881113,0.00030950170225936243,0.000304228780042592,0.0,0.0,0.0
Учет остатков,1186,,,,0.001001001001001001,1,Аналитик,0.0,0.0006190034045187249,0.0,0.0,0.0,0.0
Связь,1187,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Процессное моделирование,1188,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
junior,1189,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
File systems,1190,,,,0.0005005005005005005,4,ML инженер,0.0,0.0,0.0,0.0,0.0013175230566534915,0.0
SQLite,1191,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Уверенный пользователь MS Office,1192,,,,0.004004004004004004,1,Аналитик,0.0,0.0015475085112968121,0.000608457560085184,0.0003633720930232558,0.0,0.0
Рекламный бизнес,1193,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Бизнес-консультирование,1194,,,,0.001001001001001001,1,Аналитик,0.0,0.0006190034045187249,0.0,0.0,0.0,0.0
1С: Проекты,1195,,,,0.0005005005005005005,1,Аналитик,0.0,0.00030950170225936243,0.0,0.0,0.0,0.0
Анализ временных рядов,1196,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
воронки продаж,1197,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
NPS,1198,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
Составление семантического ядра,1199,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Планирование маркетинговых кампаний,1200,,,,0.0045045045045045045,4,ML инженер,0.0002701972439881113,0.0009285051067780873,0.000304228780042592,0.0010901162790697674,0.0013175230566534915,0.0
Access,1201,,,,0.0015015015015015015,2,Аналитик данных,0.0,0.0,0.0009126863401277761,0.0,0.0,0.0
SOAP,1202,137500.0,180000.0,232500.0,0.015015015015015015,2,Аналитик данных,0.0016211834639286678,0.0018570102135561746,0.0042592029205962886,0.0010901162790697674,0.0013175230566534915,0.0
Стимулирование потребителей,1203,,,,0.001001001001001001,1,Аналитик,0.0,0.0006190034045187249,0.0,0.0,0.0,0.0
СКД,1204,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
VK,1205,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
Визуализация,1206,,,,0.0015015015015015015,1,Аналитик,0.0,0.0006190034045187249,0.0,0.0003633720930232558,0.0,0.0
PostGIS,1207,,,,0.001001001001001001,0,Инженер данных,0.0005403944879762226,0.0,0.0,0.0,0.0,0.0
Data Science,1208,,,,0.010510510510510511,5,Data scientist,0.0016211834639286678,0.0,0.0,0.0,0.00922266139657444,0.02127659574468085
Исследование потребительских предпочтений,1209,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
Win32 Api,1210,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Умение адаптироваться,1211,,,,0.0015015015015015015,3,Bi аналитик,0.0,0.00030950170225936243,0.000304228780042592,0.0003633720930232558,0.0,0.0
