vacancy_id,query
74293662,['Artificial intelligence']
74293663,['Artificial intelligence']
74293664,['Artificial intelligence']
74293750,['Artificial intelligence']
74295400,['Artificial intelligence']
74317517,['business analyst']
74352944,['инженер данных']
74353311,['business analyst']
74360133,['Database Administrator']
74387096,['машинное обучение']
74388008,"['аналитик данных', 'инженер данных']"
74413112,['Artificial intelligence']
75172494,['машинное обучение']
75442407,"['data science', 'data analyst', 'data', 'Business Intelligence Developer']"
75520595,['data']
75522106,"['аналитик данных', 'data analyst', 'data']"
75522609,['Artificial intelligence']
75528500,"['аналитик данных', 'business analyst']"
75531569,['data']
75544950,['специалист по данным']
75549909,"['data science', 'машинное обучение', 'data']"
75567271,['data engineer']
75603609,['Database Administrator']
75616934,['business analyst']
75617516,['Data Architect']
75619079,"['data', 'Advanced Analytics']"
75620908,"['аналитик данных', 'инженер данных']"
75624211,['Big Data']
75631736,['аналитик данных']
75636415,"['data', 'Big Data']"
75651445,['инженер данных']
75660097,"['machine learning', 'Artificial intelligence']"
75660891,['инженер данных']
75679068,['аналитик данных']
75679202,"['data engineer', 'data']"
75679995,['Artificial intelligence']
75681628,['business analyst']
75684829,['инженер данных']
75687643,['инженер данных']
75693209,['машинное обучение']
75695861,['машинное обучение']
75697039,"['data science', 'data']"
75716659,['специалист по данным']
75716875,"['business analyst', 'Business Intelligence Developer']"
75717419,"['специалист по данным', 'data analyst']"
75737457,['business analyst']
75742879,['специалист по данным']
75744193,['машинное обучение']
75752714,"['data analyst', 'data', 'Big Data']"
75776092,['инженер данных']
75779053,['business analyst']
75780110,['машинное обучение']
75786018,['data']
75810155,['машинное обучение']
75823182,"['аналитик данных', 'data analyst', 'data']"
75828511,['Artificial intelligence']
75832561,['business analyst']
75835845,['Artificial intelligence']
75842555,['инженер данных']
75846527,['машинное обучение']
75875802,['аналитик данных']
75884087,['data']
75890198,['инженер данных']
75897285,['инженер данных']
75902654,['машинное обучение']
75906495,['машинное обучение']
75907363,['business analyst']
75908449,"['data', 'Artificial intelligence', 'Big Data']"
75911415,"['data engineer', 'Artificial intelligence', 'Big Data']"
75917632,"['data engineer', 'Big Data']"
75918051,['NLP']
75918380,"['data science', 'data engineer', 'инженер данных', 'data', 'computer vision']"
75921253,['data']
75921297,['business analyst']
75922570,['Business Intelligence Developer']
75933699,['инженер данных']
75937897,['Artificial intelligence']
75946106,['Artificial intelligence']
75954636,['data']
75954838,['data']
75955074,['data']
75964647,['инженер данных']
75993886,['business analyst']
75996569,['Database Administrator']
75996956,['Artificial intelligence']
75998669,['машинное обучение']
76002812,['data']
76002850,['data']
76006484,"['data engineer', 'инженер данных', 'data']"
76030301,['специалист по данным']
76036484,['business analyst']
76037247,['специалист по данным']
76040985,"['специалист по данным', 'Data Architect', 'Big Data']"
76052926,['business analyst']
76072999,['специалист по данным']
76081703,['специалист по данным']
76088879,['машинное обучение']
76091514,['machine learning']
76097109,['Artificial intelligence']
76099814,['data']
76114416,['business analyst']
76114910,['business analyst']
76153658,"['data engineer', 'инженер данных', 'data']"
76163402,['data analyst']
76169609,['Database Administrator']
76169619,['Database Administrator']
76192184,['Artificial intelligence']
76209183,['business analyst']
76213764,['инженер данных']
76215361,['машинное обучение']
76225079,['data engineer']
76229334,['data engineer']
76253798,['машинное обучение']
76253836,['машинное обучение']
76253872,['машинное обучение']
76263768,['машинное обучение']
76274433,"['data scientist', 'data analyst', 'Big Data']"
